Student ID/CLID,fico_score
909013000A1ELK00E,
909013000A1EOC007,
909013000A1EOC008,
909013000A1F28005,646
909013000A1ETW005,574
909013000A1ETW008,653
909013000A1F50006,561
909013000A1ER400H,527
909013000A1ETW009,644
909013000A1F50007,
909013000A1ETW00J,540
909013000A1ETW00L,561
909013000A1F2800D,592
909013000A1F5000E,0
909013000A1F2800H,0
909013000A1F2800J,489
909013000A1F5000H,
909013000A1F2800M,394
909013000A1F7S006,0
909013000A1F5000J,666
909013000A1F2800O,518
909013000A1F5000Q,637
909013000A1F7S00A,627
909013000A1FOG009,553
909013000A1F7S00H,514
909013000A1FAK006,505
909013000A1F7S00K,673
909013000A1F7S00L,747
909013000A1FAK007,522
909013000A1FAK00A,660
909013000A1FAK00C,718
909013000A1FDC009,672
909013000A1FOG00B,700
909013000A1FG4008,645
909013000A1FZK00G,0
909013000A1FG400A,780
909013000A1FLO008,583
909013000A1FLO00G,628
909013000A1FOG00E,572
909013000A1FOG00F,582
909013000A1FR800S,0
909013000A1FLO00L,0
909013000A1FLO00N,453
909013000A1FLO00P,645
909013000A1FOG00K,629
909013000A1FOG00L,601
909013000A1FZK00I,0
909013000A1FU0001,632
909013000A1FR8001,724
909013000A1FR8004,593
909013000A1FU0004,681
909013000A1FU0005,495
909013000A1FR800G,0
909013000A1FR800H,535
909013000A1FU000F,647
909013000A1FU000G,462
909013000A1FU000H,516
909013000A1G54003,489
909013000A1FU000J,512
909013000A1FWS003,0
909013000A1FU000K,523
909013000A1GRC002,516
909013000A1FWS005,622
909013000A1FZK005,547
909013000A1FWS006,595
909013000A1FWS00D,618
909013000A1FZK006,578
909013000A1GG8002,485
909013000A1GOK006,698
909013000A1GAO007,651
909013000A1GZO002,490
909013000A1GDG00E,532
909013000A1GG8008,623
909013000A1GG800D,756
909013000A1GG800E,532
909013000A1GG800F,555
909013000A1GG800G,763
909013000A1GG800H,650
909013000A1GG800I,557
909013000A1GOK00A,539
909013000A1GG800J,717
909013000A1GG800K,604
909013000A1GJ0003,536
909013000A1GG800L,437
909013000A1GG800M,433
909013000A1GG800N,0
909013000A1GG800O,413
909013000A1GRC009,0
909013000A1GG800P,469
909013000A1GWW001,527
909013000A1GG800Q,731
909013000A1GG800R,645
909013000A1GG800S,595
909013000A1GG800T,611
909013000A1GU4003,670
909013000A1GG800U,0
909013000A1GG800W,584
909013000A1GG800X,607
909013000A1GG800Y,0
909013000A1GG800Z,582
909013000A1GG8010,0
909013000A1GG8011,0
909013000A1GG8012,0
909013000A1GG8013,0
909013000A1GG8014,0
909013000A1GG8015,465
909013000A1GG8016,680
909013000A1GG8017,513
909013000A1GG8018,592
909013000A1GG8019,0
