SCHOOLNAME,VEMOACCOUNTNUMBER,MAILINGPOSTALCODE,VEMOCONTRACTNUMBER,ADJUSTMENTMETHOD,PAYMENTCAPFACTOR,FUNDINGAMOUNTPOSTCERTIFICATION,INCOMESHAREPOSTCERTIFICATION,PAYMENTTERMPOSTCERTIFICATION,TOTALDEFERMENTMONTHS,MINIMUMINCOMEPERMONTH,STATUS,CLOSEDDATE,CLOSEDREASON,DAYSPASTDUE,VERIFIEDANNUALINCOME,VERIFIEDANNUALINCOMETYPE,SERVICINGREASON,EFFECTIVEDATEOFCHANGE
Kenzie CIM,10007238,46038,1000002216,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Deferment,,,0,,,Graduated,2019-05-24
Kenzie CIM,10007240,46219,1000002218,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Payment,,,0,50000.00,Reported,Graduated,2019-11-20
Kenzie CIM,10007241,46220,1000002219,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Payment,,,634,54995.00,Reported,Graduated,2019-01-08
Kenzie CIM,10007242,46163,1000002220,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Payment,,,133,79997.00,Reported,Graduated,2019-01-04
Kenzie CIM,10007244,46201,1000002222,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Payment,,,26,69446.00,Reported,Graduated,2019-09-25
Kenzie CIM,10007246,46228,1000002224,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Payment,,,116,49873.00,Reported,Graduated,2019-04-05
Kenzie CIM,10007247,46250,1000002225,Payment Term,1.75,11500.00,13.0000,24.00,48,3333.34,Closed,2022-04-19,Contract satisfied,0,89301.00,Reported,Withdrew,2019-02-15
Kenzie CIM,10007248,37208,1000002226,Payment Term,1.75,23000.00,13.0000,48.00,48,3333.34,Deferment,,,0,,,Graduated,2019-07-25
Kenzie CIM,10007594,46038,1000002587,Payment Term,1.75,19000.00,13.0000,36.00,36,3333.34,Payment,,,0,65581.00,Reported,Graduated,2019-03-11
Kenzie CIM,10007595,46032,1000002588,Payment Term,1.75,10000.00,13.0000,24.00,24,3333.34,Pending Reconciliation,,,0,66520.00,Reported,Graduated,2019-01-11
