VEMOACCOUNTNUMBER,SCHOOLNAME,INCOMEVERIFICATIONNUMBER,STATUS,BEGINDATE,ENDDATE,TYPE,INCOMEPERMONTH,INCOMEPERYEAR
10007238,Kenzie Academy,IV-00003345,Verified,2019-09-01,2021-01-31,Reported,4230.44,50765.00
10007238,Kenzie Academy,IV-00026172,Verified,2021-11-01,2021-10-31,Estimated,6595.42,79145.00
10007239,Kenzie Academy,IV-00003894,Verified,2019-02-01,2021-05-31,Estimated,7500.00,90000.00
10007239,Kenzie Academy,IV-00018148,Verified,2021-06-01,,Estimated,8250.00,99000.00
10007240,Kenzie Academy,IV-00009075,Verified,2020-10-01,,Reported,4166.67,50000.00
10007241,Kenzie Academy,IV-00002379,Verified,2019-05-01,2019-11-30,Reported,3876.58,46519.00
10007241,Kenzie Academy,IV-00007339,Verified,2020-07-08,2020-09-30,Estimated,7500.00,90000.00
10007241,Kenzie Academy,IV-00010070,Verified,2020-10-01,,Reported,4582.93,54995.00
10007242,Kenzie Academy,IV-00002631,Verified,2019-05-01,2020-02-29,Reported,4166.67,50000.00
10007242,Kenzie Academy,IV-00006077,Verified,2020-03-01,2020-03-31,Reported,5384.84,64618.00
10007242,Kenzie Academy,IV-00006711,Verified,2020-04-01,2020-06-30,Reported,6250.40,75005.00
10007242,Kenzie Academy,IV-00007750,Verified,2020-08-01,2021-03-31,Reported,5833.34,70000.00
10007242,Kenzie Academy,IV-00008036,Verified,2020-07-01,2020-07-31,Reported,6019.33,72232.00
10007242,Kenzie Academy,IV-00015503,Verified,2021-04-01,,Reported,6666.40,79997.00
10007244,Kenzie Academy,IV-00004788,Verified,2020-01-01,2020-12-31,Reported,5666.67,68000.00
10007244,Kenzie Academy,IV-00012349,Verified,2021-01-01,2021-02-28,Reported,5618.36,67420.00
10007244,Kenzie Academy,IV-00014506,Verified,2021-03-01,2021-03-31,Reported,12787.17,153446.00
10007244,Kenzie Academy,IV-00015088,Verified,2021-04-01,,Reported,5787.17,69446.00
10007245,Kenzie Academy,IV-00013294,Verified,2021-02-01,2021-02-01,Estimated,6475.08,77701.00
10007246,Kenzie Academy,IV-00002996,Verified,2019-08-01,2021-04-30,Reported,4310.30,51724.00
10007246,Kenzie Academy,IV-00029314,Verified,2021-12-01,,Reported,4156.06,49873.00
10007247,Kenzie Academy,IV-00002717,Verified,2019-06-01,2020-03-31,Reported,5386.46,64638.00
10007247,Kenzie Academy,IV-00006152,Verified,2020-04-01,2020-08-31,Reported,5535.22,66423.00
10007247,Kenzie Academy,IV-00008179,Verified,2020-09-01,2021-03-31,Reported,6601.92,79223.00
