VEMOACCOUNTNUMBER,VEMOCONTRACTNUMBER,MONTH,ACTIVITY,COUNTASPAYMENTTERM,COUNTASDEFERMENT,COUNTASGRACE
10007238,1000002216,201906,Grace,FALSE,FALSE,TRUE
10007238,1000002216,201907,Grace,FALSE,FALSE,TRUE
10007238,1000002216,201908,Grace,FALSE,FALSE,TRUE
10007238,1000002216,201909,Payment,TRUE,FALSE,FALSE
10007238,1000002216,201910,Payment,TRUE,FALSE,FALSE
10007238,1000002216,201911,Payment,TRUE,FALSE,FALSE
10007238,1000002216,201912,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202001,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202002,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202003,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202004,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202005,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202006,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202007,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202008,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202009,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202010,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202011,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202012,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202101,Payment,TRUE,FALSE,FALSE
10007238,1000002216,202102,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202103,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202104,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202105,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202106,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202107,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202108,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202109,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202110,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202111,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202112,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202201,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202202,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202203,Deferment,FALSE,TRUE,FALSE
10007238,1000002216,202204,Deferment,FALSE,TRUE,FALSE
10007239,1000002217,201902,Grace,FALSE,FALSE,TRUE
10007239,1000002217,201903,Grace,FALSE,FALSE,TRUE
10007239,1000002217,201904,Grace,FALSE,FALSE,TRUE
10007239,1000002217,201905,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201906,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201907,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201908,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201909,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201910,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201911,Payment,TRUE,FALSE,FALSE
10007239,1000002217,201912,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202001,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202002,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202003,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202004,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202005,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202006,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202007,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202008,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202009,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202010,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202011,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202012,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202101,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202102,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202103,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202104,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202105,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202106,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202107,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202108,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202109,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202110,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202111,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202112,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202201,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202202,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202203,Payment,TRUE,FALSE,FALSE
10007239,1000002217,202204,Payment,TRUE,FALSE,FALSE
10007240,1000002218,201912,Grace,FALSE,FALSE,TRUE
10007240,1000002218,202001,Grace,FALSE,FALSE,TRUE
10007240,1000002218,202002,Grace,FALSE,FALSE,TRUE
10007240,1000002218,202003,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202004,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202005,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202006,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202007,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202008,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202009,Deferment,FALSE,TRUE,FALSE
10007240,1000002218,202010,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202011,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202012,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202101,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202102,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202103,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202104,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202105,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202106,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202107,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202108,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202109,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202110,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202111,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202112,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202201,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202202,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202203,Payment,TRUE,FALSE,FALSE
10007240,1000002218,202204,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201902,Grace,FALSE,FALSE,TRUE
10007241,1000002219,201903,Grace,FALSE,FALSE,TRUE
10007241,1000002219,201904,Grace,FALSE,FALSE,TRUE
10007241,1000002219,201905,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201906,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201907,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201908,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201909,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201910,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201911,Payment,TRUE,FALSE,FALSE
10007241,1000002219,201912,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202001,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202002,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202003,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202004,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202005,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202006,Deferment,FALSE,TRUE,FALSE
10007241,1000002219,202007,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202008,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202009,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202010,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202011,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202012,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202101,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202102,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202103,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202104,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202105,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202106,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202107,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202108,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202109,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202110,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202111,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202112,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202201,Payment,TRUE,FALSE,FALSE
10007241,1000002219,202202,Payment,TRUE,FALSE,FALSE
