LoanId,MonthEndDate,LoanStatusType,DefermentType,MonthlyPaymentAmount,NextDueDate,CurrentPaymentDueAmount,PastPaymentDueAmount
119141,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119141,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119141,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119141,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119141,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,4/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,5/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,6/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,7/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,8/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,9/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119141,10/31/21,REPAY     ,NULL,0,12/4/21,0,0
119141,11/30/21,DEFER     ,MININCOME,622.92,12/4/22,0,0
119141,12/31/21,DEFER     ,MININCOME,622.92,12/4/22,0,0
119141,1/31/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119141,2/28/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119141,3/31/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119141,4/30/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119142,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119142,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119142,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119142,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119142,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119142,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119142,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119142,4/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119142,5/31/21,DEFER     ,INTERIM,0,9/4/21,0,0
119142,6/30/21,DEFER     ,INTERIM,0,9/4/21,0,0
119142,7/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,0
119142,8/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,0
119142,9/30/21,REPAY     ,NULL,622.92,9/4/21,622.92,622.92
119142,10/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,1245.84
119142,11/30/21,REPAY     ,NULL,622.92,9/4/21,622.92,1868.76
119142,12/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,2491.68
119142,1/31/22,REPAY     ,NULL,622.92,9/4/21,622.92,3114.6
119142,2/28/22,REPAY     ,NULL,622.92,9/4/21,0,41800
119142,3/31/22,DEFAULT   ,NULL,622.92,9/4/21,0,41800
119142,4/30/22,DEFAULT   ,NULL,622.92,9/4/21,0,41800
119143,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119143,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119143,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119143,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119143,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119143,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119143,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119143,4/30/21,DEFER     ,INTERIM,0,8/4/21,0,0
119143,5/31/21,DEFER     ,INTERIM,0,8/4/21,0,0
119143,6/30/21,DEFER     ,INTERIM,0,8/4/21,0,0
119143,7/31/21,REPAY     ,NULL,622.92,8/4/21,622.92,0
119143,8/31/21,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,9/30/21,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,10/31/21,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,11/30/21,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,12/31/21,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,1/31/22,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,2/28/22,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,3/31/22,DEFER     ,MININCOME,622.92,8/4/22,0,0
119143,4/30/22,DEFER     ,MININCOME,622.92,8/4/22,0,0
119144,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119144,10/31/20,DEFER     ,INTERIM,0,3/4/21,0,0
119144,11/30/20,DEFER     ,INTERIM,0,3/4/21,0,0
119144,12/31/20,DEFER     ,INTERIM,0,3/4/21,0,0
119144,1/31/21,REPAY     ,NULL,622.92,3/4/21,622.92,0
119144,2/28/21,REPAY     ,NULL,622.92,3/4/21,622.92,0
119144,3/31/21,REPAY     ,NULL,622.92,3/4/21,622.92,622.92
119144,4/30/21,REPAY     ,NULL,622.92,3/4/21,622.92,1245.84
119144,5/31/21,REPAY     ,NULL,622.92,3/4/21,622.92,1868.76
119144,6/30/21,REPAY     ,NULL,622.92,3/4/21,622.92,2491.68
119144,7/31/21,REPAY     ,NULL,622.92,3/4/21,622.92,3114.6
119144,8/31/21,REPAY     ,NULL,622.92,3/4/21,0,10432
119144,9/30/21,DEFAULT   ,NULL,622.92,3/4/21,0,10432
119144,10/31/21,DEFAULT   ,NULL,622.92,3/4/21,0,10432
119144,11/30/21,DEFAULT   ,NULL,622.92,3/4/21,0,10432
119144,12/31/21,DEFAULT   ,NULL,622.92,3/4/21,0,10432
119144,1/31/22,DEFAULT   ,NULL,622.92,3/4/21,0,10432
119144,2/28/22,DEFAULT   ,NULL,2981.96,3/4/21,0,10432
119144,3/31/22,DEFAULT   ,NULL,2981.96,3/4/21,0,10432
119144,4/30/22,DEFAULT   ,NULL,2981.96,3/4/21,0,10432
119145,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119145,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119145,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119145,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119145,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,4/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,5/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,6/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,7/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,8/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,9/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119145,10/31/21,REPAY     ,NULL,0,12/4/21,0,0
119145,11/30/21,REPAY     ,NULL,622.92,12/4/21,622.92,0
119145,12/31/21,REPAY     ,NULL,622.92,12/4/21,622.92,622.92
119145,1/31/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119145,2/28/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119145,3/31/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119145,4/30/22,DEFER     ,MININCOME,622.92,12/4/22,0,0
119146,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119146,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119146,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119146,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119146,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119146,2/28/21,DEFER     ,INTERIM,0,6/4/21,0,0
119146,3/31/21,DEFER     ,INTERIM,0,6/4/21,0,0
119146,4/30/21,DEFER     ,INTERIM,0,6/4/21,0,0
119146,5/31/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,6/30/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,7/31/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,8/31/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,9/30/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,10/31/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,11/30/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,12/31/21,DEFER     ,MININCOME,0,6/4/22,0,0
119146,1/31/22,DEFER     ,MININCOME,0,6/4/22,0,0
119146,2/28/22,DEFER     ,MININCOME,0,6/4/22,0,0
119146,3/31/22,DEFER     ,MININCOME,0,6/4/22,0,0
119146,4/30/22,DEFER     ,MININCOME,0,6/4/22,0,0
119147,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119147,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119147,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119147,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119147,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119147,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119147,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119147,4/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119147,5/31/21,DEFER     ,INTERIM,0,9/4/21,0,0
119147,6/30/21,DEFER     ,INTERIM,0,9/4/21,0,0
119147,7/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,0
119147,8/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,0
119147,9/30/21,REPAY     ,NULL,622.92,9/4/21,622.92,622.92
119147,10/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,1245.84
119147,11/30/21,REPAY     ,NULL,622.92,9/4/21,622.92,1868.76
119147,12/31/21,REPAY     ,NULL,622.92,9/4/21,622.92,2491.68
119147,1/31/22,REPAY     ,NULL,622.92,9/4/21,622.92,3114.6
119147,2/28/22,REPAY     ,NULL,622.92,9/4/21,0,41800
119147,3/31/22,DEFAULT   ,NULL,622.92,9/4/21,0,41800
119147,4/30/22,DEFAULT   ,NULL,622.92,9/4/21,0,41800
119148,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119148,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119148,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119148,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119148,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,4/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,5/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,6/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,7/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,8/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,9/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119148,10/31/21,REPAY     ,NULL,0,12/4/21,0,0
119148,11/30/21,REPAY     ,NULL,622.92,12/4/21,622.92,0
119148,12/31/21,REPAY     ,NULL,622.92,12/4/21,622.92,622.92
119148,1/31/22,REPAY     ,NULL,622.92,12/4/21,622.92,1245.84
119148,2/28/22,REPAY     ,NULL,622.92,12/4/21,622.92,1868.76
119148,3/31/22,REPAY     ,NULL,622.92,12/4/21,622.92,2491.68
119148,4/30/22,REPAY     ,NULL,622.92,12/4/21,622.92,3114.6
119149,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119149,10/31/20,DEFER     ,INTERIM,0,3/4/21,0,0
119149,11/30/20,DEFER     ,INTERIM,0,3/4/21,0,0
119149,12/31/20,DEFER     ,INTERIM,0,3/4/21,0,0
119149,1/31/21,REPAY     ,NULL,622.92,3/4/21,622.92,0
119149,2/28/21,REPAY     ,NULL,622.92,3/4/21,622.92,0
119149,3/31/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,4/30/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,5/31/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,6/30/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,7/31/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,8/31/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,9/30/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,10/31/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,11/30/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,12/31/21,DEFER     ,MININCOME,622.92,3/4/22,0,0
119149,1/31/22,REPAY     ,NULL,622.92,3/4/22,622.92,0
119149,2/28/22,REPAY     ,NULL,622.92,3/4/22,622.92,0
119149,3/31/22,DEFER     ,MININCOME,622.92,3/4/23,0,0
119149,4/30/22,DEFER     ,MININCOME,622.92,3/4/23,0,0
119150,9/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119150,10/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119150,11/30/20,DEFER     ,INTERIM,0,12/4/21,0,0
119150,12/31/20,DEFER     ,INTERIM,0,12/4/21,0,0
119150,1/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,2/28/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,3/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,4/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,5/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,6/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,7/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,8/31/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,9/30/21,DEFER     ,INTERIM,0,12/4/21,0,0
119150,10/31/21,REPAY     ,NULL,0,12/4/21,0,0
119150,11/30/21,REPAY     ,NULL,758.33,12/4/21,379.15,0
119150,12/31/21,REPAY     ,NULL,758.33,1/4/22,379.15,0
119150,1/31/22,REPAY     ,NULL,758.33,2/4/22,379.15,0
119150,2/28/22,REPAY     ,NULL,758.33,3/4/22,379.15,0
119150,3/31/22,REPAY     ,NULL,758.33,4/4/22,379.15,0
119150,4/30/22,REPAY     ,NULL,758.33,5/4/22,379.15,0
119151,9/30/20,DEFER     ,INTERIM,0,3/4/22,0,0
119151,10/31/20,DEFER     ,INTERIM,0,3/4/22,0,0
119151,11/30/20,DEFER     ,INTERIM,0,3/4/22,0,0
119151,12/31/20,DEFER     ,INTERIM,0,3/4/22,0,0
119151,1/31/21,DEFER     ,INTERIM,0,4/4/21,0,0
119151,2/28/21,REPAY     ,NULL,622.92,4/4/21,622.92,0
119151,3/31/21,REPAY     ,NULL,622.92,4/4/21,622.92,0
119151,4/30/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,5/31/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,6/30/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,7/31/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,8/31/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,9/30/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,10/31/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,11/30/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
119151,12/31/21,DEFER     ,MININCOME,622.92,4/4/22,0,0
