VEMOCONTRACTNUMBER,FICOSCORE
1000005157,789
1000005189,654
1000005201,761
1000005202,681
1000005203,743
1000005206,482
1000005207,502
1000005210,479
1000005222,478
1000005294,590
1000005297,805
1000005299,544
1000005301,728
1000005307,702
1000005309,666
1000005310,659
1000005311,686
1000005313,559
1000005315,581
1000005322,619
1000005361,705
1000005362,710
1000005363,498
1000005366,512
1000005368,735
1000005372,553
1000005406,742
1000005409,648
1000005563,548
1000005564,520
1000005566,702
1000005570,705
1000005581,718
1000005585,506
1000005808,614
1000005856,580
1000005985,660
1000005990,686
1000005991,644
1000006015,598
1000006017,580
1000006019,682
1000006054,729
1000006057,419
1000006072,712
1000006077,690
1000006141,782
1000006142,663
1000006145,678
1000006155,549
1000006164,668
1000006165,751
1000006188,630
1000006189,608
1000006194,469
1000006197,517
1000006199,722
1000006200,683
1000006229,454
1000006237,600
1000006241,522
1000006255,424
1000006258,479
1000006309,707
1000006341,726
1000006343,657
1000006361,581
1000006412,476
1000006415,700
1000006429,716
1000006430,673
1000006493,806
1000006498,784
1000006509,607
1000006513,776
1000006524,625
1000006527,483
1000006539,569
1000006541,611
1000006610,613
1000006681,760
1000006682,562
1000006698,454
1000006834,440
1000006892,825
1000006901,536
1000006948,702
1000006958,757
1000006990,627
1000007043,754
1000007092,678
1000007129,639
1000007130,396
1000007553,601
1000007562,581
1000007564,564
1000007565,669
1000007568,637
1000007569,685
1000007571,661
1000007572,575
1000007574,678
1000007575,743
1000007576,560
1000007577,764
1000007582,659
1000007583,527
1000007588,611
1000007595,644
1000007610,691
1000007611,628
1000007631,509
1000007695,580
1000007699,747
1000007701,467
1000007710,787
1000007711,580
1000007761,676
1000007790,544
1000007858,664
1000007861,538
1000007866,546
1000007903,576
1000007939,544
1000007942,707
1000007969,606
1000007972,497
1000007974,739
1000008060,647
1000008067,648
1000008127,492
1000008128,789
1000008134,448
1000008137,487
1000008180,492
1000008188,575
1000008195,688
1000008196,442
1000008202,488
1000008203,666
1000008204,594
1000008229,487
1000008266,441
1000008269,552
1000008276,710
1000008298,525
1000008660,645
1000008691,705
1000008692,649
1000008695,603
1000008761,609
1000008829,571
1000008842,576
1000008951,428
1000008990,624
1000009158,522
1000009236,649
1000009251,567
1000009365,649
1000009570,597
1000009721,775
1000009723,669
1000009766,465
1000009769,535
1000009775,503
1000009787,718
1000009817,704
1000009822,434
1000009970,525
1000010084,695
1000010148,511
1000010149,547
1000010175,482
1000010178,531
1000010217,591
1000010220,521
1000010231,727
1000010237,463
1000010295,733
1000010297,466
1000010343,602
1000010344,576
1000010353,662
1000010385,498
1000010394,649
1000010433,600
1000010438,536
1000010473,648
1000010475,570
1000010541,545
1000010599,563
1000010632,663
1000010655,585
1000010664,653
1000010699,764
1000010755,442
1000010791,551
1000010794,578
1000010807,699
1000010821,437
1000010853,487
1000010854,622
1000010856,779
1000010880,513
1000010886,674
1000010906,527
1000010941,561
1000010947,736
1000010972,511
1000010974,671
1000011033,664
1000011048,519
1000011049,532
1000011104,556
1000011110,501
1000011115,599
1000011116,443
1000011129,698
1000011135,470
1000011143,748
1000011147,576
1000011159,468
1000011209,431
1000011216,678
1000011230,458
1000011235,556
1000011248,780
1000011295,508
1000011303,496
1000011314,473
1000011329,534
1000011334,493
1000011352,656
1000011353,544
1000011370,453
1000011371,743
1000011373,495
1000011379,537
1000011397,686
1000011429,581
1000011437,639
1000011441,453
1000011445,743
1000011462,541
1000011501,783
1000011513,589
1000011519,508
1000011521,624
1000011549,546
1000011551,731
1000011562,776
1000011572,604
1000011595,427
1000011596,502
1000011597,478
1000011825,640
1000011941,639
1000011989,585
1000011990,688
1000012068,551
1000012078,629
1000012122,710
1000012123,732
1000012173,504
1000012185,540
1000012201,503
1000012225,640
1000012321,564
1000012354,590
1000012416,582
1000012427,557
1000012545,742
1000012566,648
1000012588,785
1000012622,712
1000012711,570
1000012767,397
1000013093,534
1000013106,681
1000013128,718
1000013129,794
1000013130,686
1000013175,643
1000013220,721
1000013278,775
1000013291,691
1000013293,514
1000013394,584
1000013421,486
1000013437,644
1000013465,514
1000013506,466
1000013535,572
1000013536,581
1000013568,819
1000013570,696
1000013609,552
1000013626,837
1000013651,707
1000013660,790
1000013662,563
1000013669,733
1000013670,569
1000013685,472
1000013703,719
1000013718,464
1000013763,429
1000013771,595
1000013772,526
1000013776,690
1000013900,780
1000013906,397
1000013912,527
1000013957,477
1000013958,534
1000014024,603
1000014121,450
1000014153,443
1000014198,628
1000014200,552
1000014311,564
1000014448,586
1000014453,705
1000014454,462
1000014517,454
1000014651,492
1000014659,659
1000014660,636
1000014701,551
1000014773,802
1000014809,772
1000014822,496
1000014833,651
1000014882,789
1000014924,360
1000014950,485
1000015025,591
1000015029,767
1000015107,644
1000015109,493
1000015163,465
1000015269,660
1000015317,600
1000015331,585
1000015362,433
1000015391,680
1000015392,547
1000015394,757
1000015408,626
1000015417,749
1000015511,663
1000015554,530
1000015634,685
1000015636,521
1000015663,689
1000015672,653
1000015798,597
1000015860,495
1000015867,455
1000015870,580
1000015901,694
1000015914,515
1000015932,771
1000015938,598
1000015940,546
1000015970,740
1000016029,417
1000016065,502
1000016066,695
1000016113,552
1000016142,496
1000016200,460
1000016251,666
1000016314,556
1000016319,523
1000016334,535
1000016355,510
1000016365,535
1000016391,479
1000016409,506
1000016442,537
1000016445,560
1000016479,546
1000016531,746
1000016546,590
1000016547,655
1000016549,635
1000016562,452
1000016611,624
1000016634,679
1000016636,710
1000016645,532
1000016683,516
1000016690,466
1000016696,427
1000016698,657
1000016713,715
1000016779,562
1000016799,720
1000016817,648
1000016830,681
1000016836,451
1000016855,424
1000016934,547
1000016940,686
1000016960,504
1000016961,647
1000016981,528
1000016983,650
1000016987,442
1000016993,601
1000017018,770
1000018792,514
